Question,Similarity Search Context,Answer,Bleu Score,Rouge Score
Quais são os efeitos colaterais do Zytiga?,"Como todos os medicamentos, este medicamento pode causar efeitos secundários, no entanto estes nãose manifestam em todas as pessoas.Pare de tomar ZYTIGA e dirija-se imediatamente a um médico caso verifique:     Fraqueza nos músculos, espasmos nos músculos ou ritmo irregular do coração (palpitações).      Estes poderão ser sinais de que apresenta níveis baixos de potássio no seu sangue.Outros efeitos secundários incluem:Muito frequentes (podem afetar mais de 1 pessoa em cada 10):Fluidos nas suas pernas ou pés, níveis baixos de potássio no sangue, aumentos nos testes de funçãohepática (do fígado), tensão arterial aumentada, infeção do trato urinário, diarreia.Frequentes (podem afetar menos de 1 pessoa em cada 10):Níveis elevados de gordura no sangue, dor no peito, batimento irregular do coração (fibrilhaçãoauricular), insuficiência cardíaca, ritmo rápido do coração, infeções graves chamadas sepsis, fraturasósseas, indigestão, sangue na urina, erupções na pelePouco","['- ""Níveis baixos de potássio no sangue""', '            - ""Níveis elevados de gordura no sangue""', '            - ""Níveis elevados de gordura no sangue""', '            - ""Níveis elevados de gordura no sangue""', '            - ""Níveis elevados de gordura no sangue""', '            - ""Níveis elevados de gordura no sangue""', '            - ""Níveis elevados de gordura no sangue""', '            - ""Níveis elevados de gordura no sangue""', '            - ""Níveis elevados de gordura no sangue""', '            - ""Níveis elevados de gordura no sangue""', '            - ""Níveis elevados de gordura no sangue""', '            - ""Níveis elevados de gordura no sangue""', '            - ""Níveis elevados de gordura no sangue""', '            - ""Níveis elevados de gordura no sangue""', '            - ""Níveis elevados de gordura no sangue""', '            - ""Níveis elevados de gordura no sangue""', '            - ""Níveis elevados de gordura no sangue""', '            - ""Níveis elevados de gordura no sangue""', '            - ""Níveis elevados de gordura no sangue""', '            - ""Níveis elevados de gordura no sangue""', '            - ""Níveis elevados de gordura no sangue""', '            - ""Níveis elevados de gordura no sangue""', '            - ""Níveis elevados de gordura no sangue""', '            - ""Níveis elevados de gordura no sangue""', '            - ""Níveis elevados de gordura no sangue""', '            - ""Níveis elevados de gordura no sangue""', '            - ""Níveis elevados de gordura no sangue""', '            - ""Níveis elevados de gordura no sangue""', '            - ""Níveis elevados de gordura no sangue""', '            - ""Níveis elevados de gordura no sangue""', '            - ""Níveis elevados de gordura no sangue""', '            - ""Níveis elevados de gordura no blood""', '            - ""Níveis elevados de gordura no blood""', '            - ""']",0.026628187239971,0.11400651465798045
Quais são os efeitos negativos ao tomar Saridon?,"Foram ocasionalmente observadas reações alérgicas da pele (exantema, urticária).Ocorreram, muito raramente, problemas respiratórios ou reações do sistemacirculatório em indivíduos sensíveis (veja a secção “Antes de tomar Saridon N”).Foram notificados casos muito raros de reações cutâneas graves.Se detetar algum destes efeitos indesejáveis, deve interromper o tratamento econsultar o médico.Se algum dos efeitos indesejáveis se agravar ou se detectar quaisquer efeitosindesejáveis não mencionados neste folheto, informe o seu médico ou farmacêutico.Comunicação de efeitos indesejáveisSe tiver quaisquer efeitos indesejáveis, incluindo possíveis efeitos indesejáveis nãoindicados neste folheto, fale com o seu médico ou farmacêutico. Também poderácomunicar efeitos indesejáveis diretamente ao INFARMED I.P. através dos contactosabaixoSítio da internet: http://www.infarmed.pt/web/infarmed/submissaoram(preferencialmente) ou através dos seguintes contactos:Direção de Gestão do Risco de","['- Saridon pode causar efeitos indesejáveis, mas não é a primeira causa de efeitos indesejáveis. Os efeitos indesejáveis podem ser causados por outros medicamentos, alimentos, ou mesmo a falta de ar no sangue.', '            - Saridon é um medicamento que é usado para o tratamento de efeitos indesejáveis do estômachopar vezes, mas não é a primeira causa de efeitos indesejáveis.', '            - Saridon é um medicamento que é usado para o tratamento de efeitos indesejáveis do estômachopar vezes, mas não é a primeira causa de efeitos indesejáveis.', '            - Saridon é um medicamento que é usado para o tratamento de efeitos indesejáveis do estômachopar vezes, mas não é a primeira causa de efeitos indesejáveis.', '            - Saridon é um medicamento que é usado para o tratamento de efeitos indesejáveis do estômachopar vezes, mas não é a primeira causa de efeitos indesejáveis.', '            - Saridon é um medicamento que é usado para o tratamento de efeitos indesejáveis do estômachopar vezes, mas não é a primeira causa de efeitos indesejáveis.', '            - Saridon é um medicamento que é usado para o tratamento de efeitos indesejáveis do estômachopar vezes, mas não é a primeira causa de efeitos indesejáveis.', '            - Saridon é um medicamento que é usado para o tratamento de efeitos indesejáveis do estômachopar vezes, mas não é a primeira causa de efeitos indesejáveis.', '            - Saridon é um medicamento que é usado para o tratamento de efeitos indesejáveis do estômachopar vezes, mas não é a primeira causa de efeitos indesejáveis.', '            - Saridon é um medicamento que é usado para o tratamento de efeitos indesejáveis do estômachopar vezes, mas não é a primeira causa de efeitos indesejáveis']",0.1333193437642879,0.1945031712473573
Em que situações o remédio de Isotretinoína é contraindicado?,"Não tome Isotretinoína Aurovitas Se está grávida ou a amamentar se estiver apta a engravidar, deve seguir as precauções do “Programa de gravideze prevenção”, ver a secção “Advertências e precauções”. Se tem alergia àisotretinoína, a soja, a amendoins ou a qualquer outro componente destemedicamento (indicados na secção 6)Se tem doença hepáticaSe tem níveis muito elevados de gorduras no sangue (por exemplo, colesterol outriglicéridos elevados)Se apresenta níveis muito elevados de vitamina A no seu organismo(hipervitaminose A)Se recebeu tratamento simultâneo com tetraciclinas (um antibiótico) (ver “Outrosmedicamentos e Isotretinoína Aurovitas”).Se isto se aplicar a si, consulte o seu médico antes de tomar qualquer IsotretinoínaAurovitas.Advertências e precauçõesFale com o seu médico ou farmacêutico antes de tomar Isotretinoína AurovitasFale com o seu médico antes de tomar Isotretinoína Aurovitas: Se alguma vez teve problemas de saúde mental, incluindo depressão,","['- Isotretinoína Aurovitas é contraindicada para pessoas que estão grávidas, amamentando ou que estão a ser tratadas para a gravidez. - Isotretinoína Aurovitas é contraindicada para pessoas que estão grávidas, amamentando ou que estão a ser tratadas para a gravidez. - Isotretinoína Aurovitas é contraindicada para pessoas que estão grávidas, amamentando ou que estão a ser tratadas para a gravidez. - Isotretinoína Aurovitas é contraindicada para pessoas que estão grávidas, amamentando ou que estão a ser tratadas para a gravidez. - Isotretinoína Aurovitas é contraindicada para pessoas que estão grávidas, amamentando ou que estão a ser tratadas para a gravidez. - Isotretinoína Aurovitas é contraindicada para pessoas que estão grávidas, amamentando ou que estão a ser tratadas para a gravidez. - Isotretinoína Aurovitas é contraindicada para pessoas que estão grávidas, amamentando ou que estão a ser tratadas para a gravidez. - Isotretinoína Aurovitas é contraindicada para pessoas que estão grávidas, amamentando ou que estão a ser tratadas para a gravidez. - Isotretinoína Aurovitas é contraindicada para pessoas que estão grávidas, amamentando ou que estão a ser tratadas para a gravidez. - Isotretinoína Aurovitas é contraindicada para pessoas que estão grávidas, amamentando ou que estão a ser tratadas para a gravidez. - Isotretinoína Aurovitas é contraindicada para pessoas que estão grávidas, amamentando ou que estão a ser tratadas para a gravidez. - Isotretinoína Aurovitas é contraindicada para pessoas que estão grávidas, amamentando ou que estão a ser tratadas para a gravidez. - Isotretinoína Aurovitas é contraindicada para pessoas que estão']",0.1020409809854933,0.11320754716981131
Qual é a dose recomendada de Citalopram Genedec?,"Qual a composição de Citalopram GenedecA substância ativa é citalopram.Um comprimido contém 10 mg citalopram (como 12,495 mg de bromidrato decitalopram)Um comprimido contém 20 mg citalopram (como 24,99 mg de bromidrato decitalopram)Um comprimido contém 40 mg citalopram (como 49,98 mg de bromidrato decitalopram)Os outros componentes são:Núcleo: manitol (E421), celulose microcristalina, sílica coloidal anidra e estearato demagnésio;Revestimento: hipromelose, dióxido de titânio (E171) (Cl 77891) e Macrogol 6000.Qual o aspeto de Citalopram Genedec e conteúdo da embalagemComprimidos revestidos por película em embalagens de 10, 30 ou 60 comprimidos.É possível que não sejam comercializadas todas as apresentações.","['<p>A dose recomendada de Citalopram Genedec é 20 mg, mas o médico pode ajustar a dose para 40 mg, 60 mg ou 80 mg, dependendo do caso do paciente. </p>']",0.0247489982494544,0.04966139954853273
Como devo armazenar o Rivotril?,"Manter este medicamento fora da vista e do alcance das crianças.O medicamento não necessita de qualquer temperatura especial de conservaçãoNão congelar.O injetável deve ser armazenado dentro da embalagem exterior para o proteger daluz.Não utilize este medicamento após o prazo de validade impresso no rótulo ouembalagem exterior, após VAL. O prazo de validade corresponde ao último dia domês indicado.Apenas para utilização única. Assim que o recipiente for aberto, o conteúdo deve serutilizado imediatamente. Qualquer produto remanescente deverá ser rejeitado.Não deite fora quaisquer medicamentos na canalização ou no lixo doméstico.Pergunte ao seu farmacêutico como deitar fora os medicamentos que já não utiliza.Estas medidas ajudarão a proteger o ambiente.","['<p>Rivotril deve ser armazenado em um lugar fresco, mas não no frigorífico. A temperatura ideal de armazenamento é de 20°C (68°F).</p>']",0.0996570334487235,0.07142857142857142
Quais são os efeitos colaterais do Diazepam Bluefish?,"Como todos os medicamentos, este medicamento pode causar efeitos secundários,embora estes não se manifestam em todas as pessoas.Se algum dos efeitos secundários se agravar ou se detetar quaisquer efeitos secundáriosnão mencionados neste folheto, deve informar o seu médico ou farmacêutico.A maioria dos doentes tolera Diazepam Bluefish, mas os efeitos secundários maisfrequentes, que ocorrem principalmente no início do tratamento, são fadiga e sonolência.Ocasionalmente, têm sido descritos outros efeitos secundários como confusão,diminuição do estado de vigília, perda de sensibilidade, prisão de ventre, depressão,diplopia (visão dupla), ataxia (incapacidade de coordenar movimentos muscularesvoluntários), dificuldade na articulação de palavras, perturbações digestivas, distúrbios doritmo cardíaco, dores de cabeça, hipotensão, distúrbios circulatórios, aumento oudiminuição da libido (apetite sexual), náuseas, boca seca ou hipersalivação (salivaçãoexcessiva), incontinência ou","['- Diazepam Bluefish pode causar efeitos colaterais como sonolência, confusão, perda de estado de vigilância, prisão de ventre, depresão, diplopia, ataxia, dificuldade na articulação de palavras, perturbações digestivas, distúrbios doritmo cardíaco, dores de cabeça, hipotensão, distúrbios circulatórios, aumento odiminuição da libido, náuseas, boca seca ou hipersalivação (salivação excessiva), incontinência ou', '', '            ']",0.1177677357472958,0.1797385620915033
Quais são os riscos de usar o GlucaGen?,"GlucaGen
Definition: GlucaGen contém a substância ativa ""glucagom"".GlucaGen é usado no tratamento imediato de urgência em crianças eadultos com diabetes que usam insulina. É utilizado quando desmaiam(ficam inconscientes), devido a um baixo nível de açúcar no sangue. Aesta situação dá-se o nome de ""hipoglicemia grave"". O GlucaGen éutilizado quando não conseguem ingerir açúcar pela boca.Glucagom é uma hormona natural que tem o efeito oposto ao da insulina nocorpo humano. Ajuda o fígado a modificar o que se chama ""glicogénio"" emglicose (açúcar). A glicose é depois libertada na corrente sanguínea –isto faz subir o nível de açúcar no sangue.Para os profissionais de saúde: Ver secção 7.","['- GlucaGen é utilizado para o tratamento imediato de urgência em crianças e adultos com diabetes que usam insulina.', '            - A hipoglicemia grave é uma situação em que a pessoa fica inconsciente.', '            - O GlucaGen é utilizado quando não conseguem ingerir açúcar pela boca.', '            - GlucaGen é uma hormona natural que tem o efeito oposto ao da insulina.', '            - A glicose é depois liberada na corrente sanguínea –isto faz subir o nível de açúcar no sangue.', '            - Para os profissionais de saúde: Ver secção 7.']",0.0701328950775275,0.10652920962199312
Como tomar o Abolibe Forte?,"serotonina, hipericão,diuréticos tiazídicos, agentes trombolíticos e trazodona.Tomar Abolibe Forte com alimentos e bebidasO Abolibe Forte deve ser tomado com água.Gravidez e aleitamentoConsulte o seu médico ou farmacêutico antes de tomar qualquer medicamento.Não foi ainda determinada a segurança do Abolibe Forte durante a gravidez.Condução de veículos e utilização de máquinasA toma de Abolibe Forte não afecta a capacidade de conduzir veículos e utilizarmáquinas.Informações importantes sobre alguns componentes de Abolibe ForteAbolibe Forte contém pequenas quantidades de etanol (álcool), inferiores a 100 mg pordose.Abolibe Forte contém sacarina sódica.","['<p>O Abolibe Forte deve ser tomado com água, em qualquer quantidade. Não foi ainda determinada a segurança do Abolibe Forte durante a gravidez. Condução de veículos e utilização de máquinas não afetam a capacidade de tomar o Abolibe Forte. Informações importantes sobre alguns componentes de Abolibe Forte.</p>']",0.2062044979095455,0.15873015873015875
Qual é a composição de Soolantra?,"Qual a composição de SoolantraA substância ativa é a ivermectina. Um grama de creme contém 10 mg deivermectina.Os outros componentes são glicerol, palmitato de isopropilo, carbómero, dimeticone,edetato dissódico, ácido cítrico mono-hidratado, álcool cetílico, álcool estearílico, étercetoestearílico de macrogol, estearato de sorbitano, para-hidroxibenzoato de metilo(E218), para-hidroxibenzoato de propilo (E216), fenoxietanol, propilenoglicol, álcoololeílico, hidróxido de sódio, água purificada.Qual o aspeto de Soolantra e conteúdo da embalagemSoolantra é um creme branco a ligeiramente amarelado. É acondicionado embisnagas de 2, 15, 30, 45 ou 60 gramas.As bisnagas maiores (15, 30, 45 ou 60 gramas) apresentam uma tampa resistente àabertura por crianças.Apresentação de 1 bisnaga.É possível que não sejam comercializadas todas as apresentações.",['<p>SoolantraA é uma substância ativa que contém ivermectina. </p>'],0.0630297160617716,0.08333333333333333
O que pode acontecer ao tomar Circadin?,"de tomar Circadin, umavez que reduz a eficácia de Circadin.Gravidez e amamentaçãoNão tome Circadin se está grávida, se pensa estar grávida ou planeia engravidar ou a amamentar,consulte o seu médico ou farmacêutico antes de tomar este medicamento.Condução de veículos e utilização de máquinasCircadin pode provocar sonolência. No caso de ser afetado, não deve conduzir nem utilizar máquinas.Se sofrer de sonolência contínua, consulte o seu médico.Circadin contém lactose mono-hidratada.Circadin contém lactose mono-hidratada. Se o seu médico lhe disse que sofre de intolerância a algunsaçúcares, contacte o seu médico antes de tomar este medicamento.","['- O que é o Circadin?Circadin é um medicamento que é usado para o tratamento de dores de garganta. A sua ação é a redução da sintomatologia de dores de garganta.', '            - O que é a sonolência?Sonolência é a condição de estar sonolento, o estado de estar sonolentemente.', '            - O que é a intolerância a açúcares?A intolerância a açúcares é a condição de não tolerar a açúcares.', '            - O que é a açúcera?A açúcera é a condição de não tolerar a açúcera.', '            - O que é a açúcera?A açúcera é a condição de não tolerar a açúcera.', '            - O que é a açúcera?A açúcera é a condição de não tolerar a açúcera.', '            - O que é a açúcera?A açúcera é a condição de não tolerar a açúcera.', '            - O que é a açúcera?A açúcera é a condição de não tolerar a açúcera.', '            - O que é a açúcera?A açúcera é a condição de não tolerar a açúcera.', '            - O que é a açúcera?A açúcera é a condição de não tolerar a açúcera.', '            - O que é a açúcera?A açúcera é a condição de não tolerar a açúcera.', '            - O que é a açúcera?A açúcera é a condição de não tolerar a açúcera.', '            - O que é a açúcera?A açúcera é a condição de não tolerar a açúcera.', '            - O que é a açúcera?A açúcera é a condição de não tolerar a açúcera.', '            - O que é a açúcera?A açúcera']",0.0500598710839926,0.1689814814814815
