Question,Similarity Search Context,Answer,Bleu Score,Rouge Score
Quais são os efeitos colaterais do Zytiga?,"Como todos os medicamentos, este medicamento pode causar efeitos secundários, no entanto estes nãose manifestam em todas as pessoas.Pare de tomar ZYTIGA e dirija-se imediatamente a um médico caso verifique:     Fraqueza nos músculos, espasmos nos músculos ou ritmo irregular do coração (palpitações).      Estes poderão ser sinais de que apresenta níveis baixos de potássio no seu sangue.Outros efeitos secundários incluem:Muito frequentes (podem afetar mais de 1 pessoa em cada 10):Fluidos nas suas pernas ou pés, níveis baixos de potássio no sangue, aumentos nos testes de funçãohepática (do fígado), tensão arterial aumentada, infeção do trato urinário, diarreia.Frequentes (podem afetar menos de 1 pessoa em cada 10):Níveis elevados de gordura no sangue, dor no peito, batimento irregular do coração (fibrilhaçãoauricular), insuficiência cardíaca, ritmo rápido do coração, infeções graves chamadas sepsis, fraturasósseas, indigestão, sangue na urina, erupções na pelePouco","Os efeitos colaterais do Zytiga incluem fraqueza nos músculos, espasmos nos músculos, ritmo irregular do coração (palpitações), fluidos nas pernas ou pés, níveis baixos de potássio no sangue, aumentos nos testes de função hepática (do fígado), tensão arterial aumentada, infecção do trato urinário, diarreia, níveis elevados de gordura no sangue, dor no peito, batimento irregular do coração (fibrilação auricular), insuficiência cardíaca, ritmo rápido do coração, infecções graves chamadas sepsis, fraturas ósseas, indigestão, sangue na urina e erupções na pele. É importante procurar um médico imediatamente caso ocorram sintomas como fraqueza nos músculos, espasmos nos músculos ou ritmo irregular do coração, pois podem indicar níveis baixos de potássio no sangue.",0.3168351162681238,0.37764932562620424
Quais são os efeitos negativos ao tomar Saridon?,"Foram ocasionalmente observadas reações alérgicas da pele (exantema, urticária).Ocorreram, muito raramente, problemas respiratórios ou reações do sistemacirculatório em indivíduos sensíveis (veja a secção “Antes de tomar Saridon N”).Foram notificados casos muito raros de reações cutâneas graves.Se detetar algum destes efeitos indesejáveis, deve interromper o tratamento econsultar o médico.Se algum dos efeitos indesejáveis se agravar ou se detectar quaisquer efeitosindesejáveis não mencionados neste folheto, informe o seu médico ou farmacêutico.Comunicação de efeitos indesejáveisSe tiver quaisquer efeitos indesejáveis, incluindo possíveis efeitos indesejáveis nãoindicados neste folheto, fale com o seu médico ou farmacêutico. Também poderácomunicar efeitos indesejáveis diretamente ao INFARMED I.P. através dos contactosabaixoSítio da internet: http://www.infarmed.pt/web/infarmed/submissaoram(preferencialmente) ou através dos seguintes contactos:Direção de Gestão do Risco de","Os efeitos negativos ao tomar Saridon podem incluir reações alérgicas da pele, como exantema e urticária. Em casos raros, podem ocorrer problemas respiratórios ou reações do sistema circulatório em indivíduos sensíveis. Também foram relatados casos muito raros de reações cutâneas graves. Se você observar algum desses efeitos indesejáveis, é importante interromper o tratamento e consultar um médico. Caso os efeitos indesejáveis se agravem ou sejam detectados outros efeitos não mencionados, é recomendado informar o médico ou farmacêutico. É possível comunicar os efeitos indesejáveis diretamente ao INFARMED I.P. através dos contatos disponíveis.",0.4323715069339452,0.445859872611465
Em que situações o remédio de Isotretinoína é contraindicado?,"Não tome Isotretinoína Aurovitas Se está grávida ou a amamentar se estiver apta a engravidar, deve seguir as precauções do “Programa de gravideze prevenção”, ver a secção “Advertências e precauções”. Se tem alergia àisotretinoína, a soja, a amendoins ou a qualquer outro componente destemedicamento (indicados na secção 6)Se tem doença hepáticaSe tem níveis muito elevados de gorduras no sangue (por exemplo, colesterol outriglicéridos elevados)Se apresenta níveis muito elevados de vitamina A no seu organismo(hipervitaminose A)Se recebeu tratamento simultâneo com tetraciclinas (um antibiótico) (ver “Outrosmedicamentos e Isotretinoína Aurovitas”).Se isto se aplicar a si, consulte o seu médico antes de tomar qualquer IsotretinoínaAurovitas.Advertências e precauçõesFale com o seu médico ou farmacêutico antes de tomar Isotretinoína AurovitasFale com o seu médico antes de tomar Isotretinoína Aurovitas: Se alguma vez teve problemas de saúde mental, incluindo depressão,","O remédio de Isotretinoína é contraindicado nas seguintes situações:', '- Gravidez ou amamentação', '- Alergia à isotretinoína, soja, amendoins ou qualquer outro componente do medicamento', '- Doença hepática', '- Níveis muito elevados de gorduras no sangue (colesterol ou triglicérides elevados)', '- Níveis muito elevados de vitamina A no organismo (hipervitaminose A)', '- Tratamento simultâneo com tetraciclinas (um antibiótico)', '- Caso alguma dessas situações se aplique a você, é importante consultar seu médico antes de tomar qualquer Isotretinoína.",0.020448944423872,0.0509987250318742
Qual é a dose recomendada de Citalopram Genedec?,"Qual a composição de Citalopram GenedecA substância ativa é citalopram.Um comprimido contém 10 mg citalopram (como 12,495 mg de bromidrato decitalopram)Um comprimido contém 20 mg citalopram (como 24,99 mg de bromidrato decitalopram)Um comprimido contém 40 mg citalopram (como 49,98 mg de bromidrato decitalopram)Os outros componentes são:Núcleo: manitol (E421), celulose microcristalina, sílica coloidal anidra e estearato demagnésio;Revestimento: hipromelose, dióxido de titânio (E171) (Cl 77891) e Macrogol 6000.Qual o aspeto de Citalopram Genedec e conteúdo da embalagemComprimidos revestidos por película em embalagens de 10, 30 ou 60 comprimidos.É possível que não sejam comercializadas todas as apresentações.","A dose recomendada de Citalopram Genedec varia de acordo com a condição a ser tratada. Geralmente, a dose inicial é de 20 mg por dia, podendo ser aumentada para até 40 mg por dia, conforme a necessidade e a resposta do paciente ao tratamento. É importante seguir as orientações do médico e não ajustar a dose por conta própria.",0.0591041462685493,0.07197382769901854
Como devo armazenar o Rivotril?,"Manter este medicamento fora da vista e do alcance das crianças.O medicamento não necessita de qualquer temperatura especial de conservaçãoNão congelar.O injetável deve ser armazenado dentro da embalagem exterior para o proteger daluz.Não utilize este medicamento após o prazo de validade impresso no rótulo ouembalagem exterior, após VAL. O prazo de validade corresponde ao último dia domês indicado.Apenas para utilização única. Assim que o recipiente for aberto, o conteúdo deve serutilizado imediatamente. Qualquer produto remanescente deverá ser rejeitado.Não deite fora quaisquer medicamentos na canalização ou no lixo doméstico.Pergunte ao seu farmacêutico como deitar fora os medicamentos que já não utiliza.Estas medidas ajudarão a proteger o ambiente.","O Rivotril deve ser armazenado fora da vista e do alcance das crianças, em temperatura ambiente, sem a necessidade de qualquer temperatura especial de conservação. Não deve ser congelado. O injetável deve ser armazenado dentro da embalagem exterior para protegê-lo da luz. É importante não utilizar o medicamento após o prazo de validade impresso no rótulo ou embalagem exterior. O prazo de validade corresponde ao último dia do mês indicado. O Rivotril é de uso único, portanto, assim que o recipiente for aberto, o conteúdo deve ser utilizado imediatamente. Qualquer produto remanescente deve ser rejeitado. Não descarte o medicamento na canalização ou no lixo doméstico. É recomendado perguntar ao farmacêutico como descartar corretamente os medicamentos que não são mais utilizados. Essas medidas ajudarão a proteger o ambiente.",0.4063468228215268,0.5022026431718062
Quais são os efeitos colaterais do Diazepam Bluefish?,"Como todos os medicamentos, este medicamento pode causar efeitos secundários,embora estes não se manifestam em todas as pessoas.Se algum dos efeitos secundários se agravar ou se detetar quaisquer efeitos secundáriosnão mencionados neste folheto, deve informar o seu médico ou farmacêutico.A maioria dos doentes tolera Diazepam Bluefish, mas os efeitos secundários maisfrequentes, que ocorrem principalmente no início do tratamento, são fadiga e sonolência.Ocasionalmente, têm sido descritos outros efeitos secundários como confusão,diminuição do estado de vigília, perda de sensibilidade, prisão de ventre, depressão,diplopia (visão dupla), ataxia (incapacidade de coordenar movimentos muscularesvoluntários), dificuldade na articulação de palavras, perturbações digestivas, distúrbios doritmo cardíaco, dores de cabeça, hipotensão, distúrbios circulatórios, aumento oudiminuição da libido (apetite sexual), náuseas, boca seca ou hipersalivação (salivaçãoexcessiva), incontinência ou","Os efeitos colaterais mais comuns do Diazepam Bluefish são fadiga e sonolência. Além disso, também podem ocorrer outros efeitos colaterais menos frequentes, como confusão, diminuição do estado de vigília, perda de sensibilidade, prisão de ventre, depressão, visão dupla, dificuldade na articulação de palavras, perturbações digestivas, distúrbios do ritmo cardíaco, dores de cabeça, hipotensão, distúrbios circulatórios, aumento ou diminuição da libido, náuseas, boca seca ou hipersalivação e incontinência. É importante informar ao médico ou farmacêutico caso algum desses efeitos colaterais se agrave ou sejam detectados outros efeitos não mencionados neste folheto.",0.1873293155977047,0.2458270106221548
Quais são os riscos de usar o GlucaGen?,"GlucaGen
Definition: GlucaGen contém a substância ativa ""glucagom"".GlucaGen é usado no tratamento imediato de urgência em crianças eadultos com diabetes que usam insulina. É utilizado quando desmaiam(ficam inconscientes), devido a um baixo nível de açúcar no sangue. Aesta situação dá-se o nome de ""hipoglicemia grave"". O GlucaGen éutilizado quando não conseguem ingerir açúcar pela boca.Glucagom é uma hormona natural que tem o efeito oposto ao da insulina nocorpo humano. Ajuda o fígado a modificar o que se chama ""glicogénio"" emglicose (açúcar). A glicose é depois libertada na corrente sanguínea –isto faz subir o nível de açúcar no sangue.Para os profissionais de saúde: Ver secção 7.","Os riscos de usar o GlucaGen podem incluir reações alérgicas, como erupções cutâneas, coceira, inchaço ou dificuldade para respirar. Além disso, podem ocorrer efeitos colaterais como náuseas, vômitos, dor de cabeça, tonturas e aumento da pressão arterial. É importante consultar um médico antes de usar o GlucaGen para avaliar os riscos e benefícios do medicamento.",0.0905393543646133,0.09574468085106383
Como tomar o Abolibe Forte?,"serotonina, hipericão,diuréticos tiazídicos, agentes trombolíticos e trazodona.Tomar Abolibe Forte com alimentos e bebidasO Abolibe Forte deve ser tomado com água.Gravidez e aleitamentoConsulte o seu médico ou farmacêutico antes de tomar qualquer medicamento.Não foi ainda determinada a segurança do Abolibe Forte durante a gravidez.Condução de veículos e utilização de máquinasA toma de Abolibe Forte não afecta a capacidade de conduzir veículos e utilizarmáquinas.Informações importantes sobre alguns componentes de Abolibe ForteAbolibe Forte contém pequenas quantidades de etanol (álcool), inferiores a 100 mg pordose.Abolibe Forte contém sacarina sódica.",O Abolibe Forte deve ser tomado com água.,0.0360874385514581,0.05911330049261084
Qual é a composição de Soolantra?,"Qual a composição de SoolantraA substância ativa é a ivermectina. Um grama de creme contém 10 mg deivermectina.Os outros componentes são glicerol, palmitato de isopropilo, carbómero, dimeticone,edetato dissódico, ácido cítrico mono-hidratado, álcool cetílico, álcool estearílico, étercetoestearílico de macrogol, estearato de sorbitano, para-hidroxibenzoato de metilo(E218), para-hidroxibenzoato de propilo (E216), fenoxietanol, propilenoglicol, álcoololeílico, hidróxido de sódio, água purificada.Qual o aspeto de Soolantra e conteúdo da embalagemSoolantra é um creme branco a ligeiramente amarelado. É acondicionado embisnagas de 2, 15, 30, 45 ou 60 gramas.As bisnagas maiores (15, 30, 45 ou 60 gramas) apresentam uma tampa resistente àabertura por crianças.Apresentação de 1 bisnaga.É possível que não sejam comercializadas todas as apresentações.","A composição de Soolantra é composta pela substância ativa ivermectina, além dos seguintes componentes: glicerol, palmitato de isopropilo, carbómero, dimeticone, edetato dissódico, ácido cítrico mono-hidratado, álcool cetílico, álcool estearílico, éter cetoestearílico de macrogol, estearato de sorbitano, para-hidroxibenzoato de metilo (E218), para-hidroxibenzoato de propilo (E216), fenoxietanol, propilenoglicol, álcool oleílico, hidróxido de sódio e água purificada.",0.5182085151187099,0.5671641791044777
O que pode acontecer ao tomar Circadin?,"de tomar Circadin, umavez que reduz a eficácia de Circadin.Gravidez e amamentaçãoNão tome Circadin se está grávida, se pensa estar grávida ou planeia engravidar ou a amamentar,consulte o seu médico ou farmacêutico antes de tomar este medicamento.Condução de veículos e utilização de máquinasCircadin pode provocar sonolência. No caso de ser afetado, não deve conduzir nem utilizar máquinas.Se sofrer de sonolência contínua, consulte o seu médico.Circadin contém lactose mono-hidratada.Circadin contém lactose mono-hidratada. Se o seu médico lhe disse que sofre de intolerância a algunsaçúcares, contacte o seu médico antes de tomar este medicamento.","Ao tomar Circadin, podem ocorrer os seguintes efeitos:', '', '- Redução da eficácia de Circadin se tomado juntamente com outros medicamentos.', '- Contraindicado durante a gravidez e amamentação. É importante consultar o médico ou farmacêutico antes de tomar este medicamento.', '- Pode causar sonolência, portanto, não é recomendado dirigir ou operar máquinas caso seja afetado.', '- Se houver sonolência contínua, é necessário consultar o médico.', '- Contém lactose mono-hidratada, portanto, se houver intolerância a açúcares, é importante entrar em contato com o médico antes de tomar este medicamento.",0.0607900141445279,0.08211143695014664
