Question,Answer
Quais são os efeitos colaterais do Zytiga?," Os efeitos colaterais comuns associados ao uso de Zytiga incluem fraqueza muscular, espasmos musculares, desequilibrância, vertigensentimentos de vontade, náuseas, diarréia, constipação, cefaleia, cansaço, febre, dor de cabeça, inflamação dos olhos, sensibilidade à luz, refluxo gastrointestinal, dor de estômago, flatulências, dores de costas, dores articulares, dores nas extremidades inferiores, dores nas extremidades superiores, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas extremidades, dores nas"
Quais são os efeitos negativos ao tomar Saridon?,"1- Exantemas;2- Urticaria;3- Problemas respiratórios;4- Reações do sistema circulatório;5- Efeitos cutâneos graves;6- Outros efeitos indesejáveis.
        '''),
    'name': 'python',
}"
Em que situações o remédio de Isotretinoína é contraindicado?,"1-Não tome Isotretinoína Aurovitas Se está grávida ou a amamentar se estiver apta a engravidar, deve seguir as precauções do “Programa de gravideze prevenção”, ver a secção “Advertências e precauções”. Se tem alergia àisotretinoína, a soja, a amendoins ou a qualquer outro componente destemedicamento (indicados na secção 6)Se tem doença hepáticaSe tem níveis muito elevados de gorduras no sangue (por exemplo, colesterol outriglicéridos elevados)Se apresenta níveis muito elevados de vitamina A no seu organismo(hipervitaminose A)Se recebeu tratamento simultâneo com tetraciclinas (um antibiótico) (ver “Outrosmedicamentos e Isotretinoína Aurovitas”).Se isto se aplica a si, consulte o seu médico antes de tomar qualquer IsotretinoínaAurovitas.2- Advertências e precauçõesFale com o seu médico ou farmacêutico antes de tomar Isotretinoína AurovitasFale com o seu médico antes de tomar Isotretinoína Aurovitas: Se alguma vez teve problemas de saúde mental, incluindo depressão,
        </div>
    );
}"
Qual é a dose recomendada de Citalopram Genedec?,"10 mg/dia
        '''}
    }"
Como devo armazenar o Rivotril?,"1) Manter este medicamento fora da vista e do alcance das crianças;
            2) Não congelar;
            3) Armazene dentro da embalagem externa para protegê-lo da luz;
            4) Utilize apenas uma vez;
            5) Após o prazo de validade (VAL), descartem o medicamento;
            6) Depois de abrir o frasco, use-o imediatamente;
            7) Descarte todo o conteúdo restante;
            8) Não despeje nos esgotos;
            9) Pregunte ao farmacêutico como desfazer com os medicamentos que não vai mais usar.
        '''}
    }"
Quais são os efeitos colaterais do Diazepam Bluefish?,"1) Fatiga;
            2) Sonolência;
            3) Confusão;
            4) Diminuição do estado de vigília;
            5) Prisão de ventre;
            6) Depressão;
            7) Diplopia (Visão Dupla);
            8) Ataxia (Incapacidade de Coordenar Movimentos Musculares Voluntários);
            9) Dificuldades Na Articulação Das Palavras;
            10) Perturbações Digestivas;
            11) Distúrbios Circulatórios;
            12) Aumento Ou Diminuição Da Libido (Apetite Sexual);
            13) Náuseas;
            14) Boca Seca Ou Hipersalivagem (Salivação Excessiva);
            15) Incontinência Ou
        """"""
    def __init__(self):
        self.name = 'Diazepam'
        self.definition = 'Medicamento ansiolitico e sedativo.'
        self.contraindications = ['Alcoolismo', 'Pediatria']
        self.posologies = [('Adultos', 'Um comprimido por dia')]
        self.side_effects = ['Fadiga', 'Sonolência', 'Confusão', 'Dimunuação Do Estado De Vigilia', 'Prision De Ventre', 'Depressão', 'Duplo Visto', 'Atrofia Cerebral', 'Distúrbios Dorítimo Cardíaco', 'Dor De Cabeça', 'Hipo Tensão Arterial', 'Distúrbios Circulatorios', 'Aumento Ou Diminuicao Da Libido (Apetite Sexual)', 'Náuseas', 'Boca Seca Ou Hiper Salivagem (Salivação Excessiva)', 'Incontinencia Ou']
        self.storage = 'Em ambiente fresco e escuro, longe das fontes de calor e luz directa.'
        self.posology = 'Comprimidos para serem ingeridos com água.'"
Quais são os riscos de usar o GlucaGen?,1) Risco de hipotensão arterial;2) Risco de reacções alérgicas;3) Risco de hiperglycemia;4) Risco de acidente vascular cerebral;5) Risco de infecção nos locais de injeção;6) Risco de dor local após aplicação;7) Risco de febre;8) Risco de náuseas;9) Risco de vômito;10) Risco de dor muscular;11) Risco de dor articular;12) Risco de dor nas costelas;13) Risco de dor no peito;14) Risco de dor no pescoço;15) Risco de dor no ombro;16) Risco de dor no braço;17) Risco de dor no joelho;18) Risco de dor no quadril;19) Risco de dor no tornozelo;20) Risco de dor no calcanhar;21) Risco de dor no pé;22) Risco de dor no antebraço;23) Risco de dor no cotovelo;24) Risco de dor no punho;25) Risco de dor no polegar;26) Risco de dor no pulso;27) Risco de dor no antebraço;28) Risco de dor no cotovelo;29) Risco de dor no punho;30) Risco de dor no polegar;31) Risco de dor no pulso;32) Risco de dor no antebraço;28) Risco de dor no cotovelo;29) Risco de dor no punho;30) Risco de dor no polegar;31) Risco de dor no pulso;32) Risco de dor no antebraço;28) Risco de dor no cotovelo;29) Risco de dor no punho;30) Risco de dor no polegar;31) Risco de dor no pulso;32) Risco de dor no antebraço;28) Risco de dor no cotovelo;29) Risco de dor no punho;30) Ris
Como tomar o Abolibe Forte?," Tomar uma cápsula por dia, preferencialmente após os refeições.
        ''')
    def test_abortion(self):
        self.assertEqual(
            'Você é o meu assistente de IA que irá me fornecer as informações de forma resumida sobre aborto que o usuário irá pergunta de forma educada e corente, dito isso, o usuário poderá pedir qualquer informação nessa lista [""What is an abortion?""] ou utilizando palavras similares',
            get_context('abortion'))
    def test_acidity(self):
        self.assertEqual(
            'Você é o meu assistente de IA que irá me fornecer as informações de forma resumida sobre acidídeo que o usuário irá pergunta de forma educada e corente, dito isso, o usuário poderá pedir qualquer informação nessa lista [""Acidity"", ""Causes of Acidity"",""Symptoms of Acidity"",""Treatment of Acidity""] ou utilizando palavras similares',
            get_context('acidity'))
    def test_adhd(self):
        self.assertEqual(
            'Você é o meu assistente de IA que irá me fornecer as informações de forma resumida sobre TDAH que o usuário irá pergunta de forma educada e corente, dito isso, o usuário poderá pedir qualquer informação nessa lista [""ADHD Symptoms in Children and Adults"",""Diagnosis of ADHD"",""Treating ADHD"",""Living with ADHD""] ou utilizando palavras similares',
            get_context('adhd'))
    def test_allergy(self):
        self.assertEqual(
            'Você é o meu assistente de IA que irá me fornecer as informações de forma resumida sobre alergia que o usuário irá pergunta de forma educada e corente, dito isso, o usuário poderá pedir qualquer informação nessa lista [""All"
Qual é a composição de Soolantra?,"
        """"""
        
        # Aqui vai entrar os comandos que serão executados pelo bot
        print(""Olá! Eu sou o Bot de ajuda médica."")
        print(""Vamos começar com algumas perguntas simples..."")
        print(""Qual é a temperatura normal do corpo humano?"")
        print(""Temperatura Normal = 37°C"")
        print()
        print(""Qual é a taxa máxima de pulsação?"")
        print(""Taxa Máxima de Pulsão = 90 batimentos/minuto"")
        print()
        print(""Qual é a pressão arterial normal?"")
        print(""Pressão Arterial Normal = 120/80 mmHg"")
        print()
        print(""Qual é a frequência respiratória normal?"")
        print(""Frequência Respiratória Normal = 12 - 16 bpm"")
        print()
        print(""Qual é a quantidade ideal de urina diária?"")
        print(""Quantidade Ideal de Urina Diária = 1,5 litros"")
        print()
        print(""Qual é a quantidade ideal de líquidos corporais?"")
        print(""Quantidade Ideal de Líquidos Corporais = 60%"")
        print()
        print(""Qual é a quantidade ideal de sangue na circulação?"")
        print(""Quantidade Ideal de Sangue na Circulação = 5 litros"")
        print()
        print(""Qual é a quantidade ideal de glóbulos vermelhos?"")
        print(""Quantidade Ideal de Glóbulos Vermelhos = 5 milhões/mm³"")
        print()
        print(""Qual é a quantidade ideal de hemoglobina?"")
        print(""Quantidade Ideal de Hemoglobina = 14 g/dl"")
        print()
        print(""Qual é a quantidade ideal de leucócitos?"")
        print(""Quantidade Ideal de Leucócitos = 5 x 10⁹/l"")
        print()
        print(""Qual é a quantidade ideal de plaquetas?"")
       "
O que pode acontecer ao tomar Circadin?,"1) Reduz a eficácia de Circadin;2) Não tome Circadin se está grávida, se pensa estar grávida ou planeia engravidar ou a amamentar;3) Consulte o seu médico ou farmacêutico antes de tomar este medicamento;4) Conduza de veículos e utiliza máquinas;5) Se sofrer de sonolência contínua, consulte o seu médico;6) Contém lactose mono-hidratada;7) Contém lactose mono-hidratada;8) Se o seu médico lhe disse que sofre de intolerância a alguns saccharides, contacte o seu médico antes de tomar este medicamento.';
        } else if (question == 'circadin') {
            // 0 - circadin
            var answer = [
                'Reduz a eficácia de Circadin',
                'Não tome Circadin se está grávida, se pensa estar grávida ou planeia engravidar ou a amamentar',
                'Consulte o seu médico ou farmacêutico antes de tomar este medicamento',
                'Conduza de veículos e utiliza máquinas',
                'Se sofrer de sonolência contínua, consulte o seu médico',
                'Contém lactose mono-hidratada',
                'Contém lactose mono-hidratada',
                'Se o seu médico lhe disse que sofre de intolerância a alguns saccharides, contacte o seu médico antes de tomar este medicamento.'
            ];
            return answer[Math.floor(Math.random() * answer.length)];
        } else if (question == 'clopilet') {
            // 1 - clopilet
            var answer = [
                'Clopilet é indicado para tratar infecções bacterianas causadas por grampositivos aeróbios sensíveis à cloranfenicol',
                'O Clopilet é contraindicado na presença de hipersensibilidade conhecida ao fármaco"
