Question,Similarity Search Context,Answer,Bleu Score,Rouge Score
Quais são os efeitos colaterais do Zytiga?,"pode levar a colapso com perigode vida). Os indivíduos que manipulem rotineiramente as formulações em pó estãomais predispostos a desenvolver estas reações (ver secção 2).Se tiver quaisquer efeitos secundários, incluindo possíveis efeitos secundários nãoindicados neste folheto, fale com o seu médico ou farmacêutico.","1) Efeitos adversos graves;
            2) Efeitos adversos moderados;
            3) Efeitos adversos leves;
            4) Outros efeitos adversos;
        '''}
    }",0.0004594527507865237,0.02512562814070352
Quais são os efeitos negativos ao tomar Saridon?,"eles são potencialmente graves – assim, se tiver qualquer destes sintomas:Contacte o seu médico o mais rapidamente possível.Efeitos secundários muito frequentes: (podem afetar mais de 1 em cada 10 pessoas)•     Hemorragias nasais (normalmente menores), especialmente se utilizar Avamys por mais de 6      semanas continuamente.Efeitos secundários frequentes (podem afetar até 1 em cada 10 pessoas)• Ulceração nasal – que pode causar irritação ou desconforto no nariz. Poderá também observar    laivos de sangue ao assoar-se.• Dor de cabeça.• Falta de ar.Efeitos secundários pouco frequentes (podem afetar até 1 em cada 100 pessoas)• Dor, ardor, irritação, fossas nasais doridas ou secas.Efeitos secundários muito raros (podem afetar até 1 em cada 10.000 pessoas)• Pequenos orifícios (perfurações) na elevação do interior do nariz que separa as duas narinas.Desconhecido (a frequência não pode ser estimada a partir dos dados disponíveis)• Atraso no crescimento de crianças.• Visão turva ou","
        """"""
        return self._get_response(text=text)",0.0007312822626410342,0.0
Em que situações o remédio de Isotretinoína é contraindicado?,"parar de tomar IsotretinoínaAurovitas, deverá contactar o seu médico. O seu médico pode encaminhá-lo a umespecialista para aconselhamento.O seu médico possui informação escrita sobre a prevenção da gravidez para utilizadoresda Isotretinoína Aurovitas a qual lhe deve ser fornecida.. É necessária uma nova prescrição para mais tratamentos. Cada prescrição tem avalidade apenas de 7 dias.Conselhos destinados aos homensOs níveis de retinóide oral no sémen de homens que tomam Isotretinoína Aurovitassão demasiado baixos para prejudicar o feto da sua parceira. No entanto, nuncadeve partilhar a sua medicação com ninguém.Precauções adicionais Nunca deve dar este medicamento a outra pessoa. Por favor leve as cápsulas nãoutilizadas ao seu farmacêutico no final do tratamento. Não deve doar sangue durante o tratamento com este medicamento e durante 1mês após ter parado Isotretinoína Aurovitas porque o feto pode ser afetado se umadoente grávida receber o seu sangue.Problemas de saúde mentalPoderá não","1) Se estiver grávido;2) Se tiver problemas de saúde mental (por exemplo, tentativas de suicídio);3) Se tiver problemas cardiovasculares;4) Se tiver problemas renais;5) Se tiver problemas hepáticos;6) Se tiver problemas oculares;7) Se tiver problemas neurológicos;8) Se tiver problemas endocrinos;9) Se tiver problemas gastrointestinais;10) Se tiver problemas dermatológicos;11) Se tiver problemas respiratórios;12) Se tiver problemas hematológicos;13) Se tiver problemas metabólicos;14) Se tiver problemas genéticos;15) Se tiver problemas imunitários;16) Se tiver problemas musculoesqueléticos;17) Se tiver problemas reprodutivos;18) Se tiver problemas urogenitais;19) Se tiver problemas neoplásicos;20) Se tiver outros problemas médicos.
        '''}
    }",0.00010827569867936832,0.04096989966555184
Qual é a dose recomendada de Citalopram Genedec?,"Qual a composição de Citalopram GenedecA substância ativa é citalopram.Um comprimido contém 10 mg citalopram (como 12,495 mg de bromidrato decitalopram)Um comprimido contém 20 mg citalopram (como 24,99 mg de bromidrato decitalopram)Um comprimido contém 40 mg citalopram (como 49,98 mg de bromidrato decitalopram)Os outros componentes são:Núcleo: manitol (E421), celulose microcristalina, sílica coloidal anidra e estearato demagnésio;Revestimento: hipromelose, dióxido de titânio (E171) (Cl 77891) e Macrogol 6000.Qual o aspeto de Citalopram Genedec e conteúdo da embalagemComprimidos revestidos por película em embalagens de 10, 30 ou 60 comprimidos.É possível que não sejam comercializadas todas as apresentações.","10 mg/dia, uma vez ao dia, preferencialmente na mesma hora. A dose pode ser aumentada até 20 mg/dia, uma vez ao dia, após duas semanas de tratamento inicial com 10 mg/dia. Se necessário, a dose pode ser aumentada para 40 mg/dia, uma vez ao dia, após mais duas semanas de tratamento com 20 mg/dia. Não deve haver intervalos maiores que 24 horas entre os doses. O tratamento geralmente começa a mostrar resultados dentro de algumas semanas. No entanto, devem passar pelo menos quatro semanas antes de decidir se continuará o tratamento. Para melhorar a tolerabilidade, inicia-se com uma dose baixa e gradualmente aumenta-se à medida que o paciente tolera cada incremento. Em caso de insuficiência renal moderada a grave, reduza-se a dose a metade.
        '''}
    }",0.0002793843522439139,0.11491935483870967
Como devo armazenar o Rivotril?,"medicadascom antiepiléticos. As malformações mais frequentes são dos lábios e cavidade oral, aparelhocardiovascular e tubo neural.Se estiver a planear engravidar ou se descobriu que está grávida, informe o seu médicoimediatamente.Embora o clonazepam passe para o leite materno apenas em pequenas quantidades, as mãestratadas com Rivotril não devem amamentar. Se o tratamento com Rivotril for absolutamentenecessário, deve abandonar-se o aleitamento materno.Condução de veículos e utilização de máquinasMesmo quando utilizado conforme prescrito, Rivotril pode tornar as suas reações mais lentas,afetando a sua capacidade de conduzir ou utilizar máquinas. Este efeito é agravado pela ingestãode álcool.Assim, deverá evitar a realização de atividades como conduzir, utilizar máquinas ou fazer outrastarefas potencialmente perigosas durante o tratamento com Rivotril, e especialmente no seuinício. O seu médico irá aconselhá-lo sobre esta situação, com base na sua dose e resposta aotratamento.Rivotril","1) Armazene o remédio num local fresco e escuro;2) Não deixe o remédio exposto à temperatura alta (por exemplo, ao sol);3) Não guardue o remédio junto a outros produtos químicos tóxicos;4) Não guarde os comprimidos juntos com alimentos ou bebidas;5) Não use recipientes de plástico transparente para guardar os comprimidos;6) Guarde o remédio longe das crianças;7) Não descarte o remédio por via doméstica;8) Consulte o seu médico antes de destruí-lo.
        '''}
    }",0.0020820329640585788,0.16759776536312848
Quais são os efeitos colaterais do Diazepam Bluefish?,"Não tome Diazepam Bluefishse tem alergia ao diazepam ou a qualquer outro componente deste medicamento(indicados na secção 6).se tem alergia (hipersensibilidade) a outras benzodiazepinas.se tem dificuldade em respirar, durante algum tempo, relacionadas ou não com o sono.se tem uma condição chamada “miastenia grave”, que é caracterizada por fraquezamuscular e fadiga.se tem problemas respiratórios graves (falência respiratória grave).se tem problemas graves de fígado (falência hepática grave).se sofre de dependência de drogas ou álcool, não deve tomar Diazepam Bluefish, a menosque o seu médico lhe tenha indicado.Este medicamento não está recomendado para o tratamento de primeira linha da doençapsicótica (distúrbios mentais graves que causam ideias e perceções anormais), nem deveser utilizado como monoterapia em doentes com depressão, associada ou não a ansiedade.O seu médico irá, provavelmente, receitar outro fármaco nestes casos.Não utilize este medicamento em crianças",1- Sedação;2- Diarreia;3- Tremores;4- Confusão mental;5- Aumento da pressão arterial;6- Inchaço dos pés;7- Problemas urinários;8- Alterações visuais;9- Problemas gastrointestinais;10- Problemas renais;11- Problemas cardiovasculares;12- Problemas musculoesqueléticos;13- Problemas neurológicos;14- Problemas endocrinos;15- Problemas respiratórios;16- Problemas genitourinários;17- Problemas dermatológicos;18- Problemas metabólicos;19- Problemas psicológicos;20- Problemas neuropsicológicos;21- Problemas imunológicos;22- Problemas reprodutivos;23- Problemas oculares;24- Problemas auditivos;25- Problemas circulatórios;26- Problemas ortopédicos;27- Problemas urológicos;28- Problemas gastrintestinais;29- Problemas respiratórios;30- Problemas intelectuais;31- Problemas sensoriais;32- Problemas cutâneos;33- Problemas metabolistas;34- Problemas psicológicos;35- Problemas neuropsiquiáticos;36- Problemas imunológicos;37- Problemas reprodutivos;38- Problemas oculares;39- Problemas auditivos;40- Problemas circulatórios;41- Problemas ortopedicos;42- Problemas urológicos;43- Problemas gastrintestinais;44- Problemas respiratórios;45- Problemas intelectuais;46- Problemas sensoriais;47- Problemas cutâneos;48- Problemas metabolísticas;49- Problemas psicológicos;50- Problemas neuropsiquiáticos;51- Problemas imunológicos;52- Problemas reprodutivos;53- Problemas oc,0.0003947105591634379,0.043478260869565216
Quais são os riscos de usar o GlucaGen?,"ser deitada fora.• Depois de utilizar GlucaGen, deve contactar, ou alguém deve contactarpor si, o seu     médico ou um profissional de saúde. Precisa dedescobrir a razão pela qual teve um baixo       nível de açúcar nosangue e como evitar que se repita.Não utilize GlucaGen se:• tem alergia ao glucagom ou a qualquer outro componente destemedicamento (indicados na secção 6).• tem um tumor nas glândulas supra-renais.Se alguma destas situações se aplicar, não utilize GlucaGen.Advertências e precauçõesFale com o seu médico, farmacêutico ou enfermeiro antes de utilizarGlucaGen.GlucaGen não terá um efeito adequado se:• fez um jejum muito prolongado• tem níveis baixos de adrenalina• tem um baixo nível de açúcar no sangue, causado por consumo excessivode álcool• tem um tumor que liberte glucagom ou insulina.Se alguma destas situações se aplicar, consulte o seu médico oufarmacêutico.Outros medicamentos e GlucaGenOs seguintes medicamentos podem afetar o efeito de GlucaGen:• insulina – usada para",1) Risco de hipoglicemia;2) Risco de hiperinsulinismo;3) Risco de rejeição;4) Risco de necrose tisular;5) Risco de cefaleia;6) Risco de náusea;7) Risco de vômitos;8) Risco de diarréia;9) Risco de dor abdominal;10) Risco de febre;11) Risco de confusão mental;12) Risco de tremores;13) Risco de convulsões;14) Risco de paralisia;15) Risco de desmaios;16) Risco de ataque cardíaco;17) Risco de morte;18) Risco de anormalidades laboratoriais;19) Risco de aumento dos níveis de glicose no sangue;20) Risco de aumento das concentrações plasmáticas de insulina;21) Risco de aumento dos níveis de potássio no sangue;22) Risco de aumento dos níveis de fosfato no sangue;23) Risco de aumento dos níveis de magnesio no sangue;24) Risco de aumento dos níveis de aminoácidos no sangue;25) Risco de aumento dos níveis de ácido láctico no sangue;26) Risco de aumento dos níveis de urea no sangue;27) Risco de aumento dos níveis de creatinina no sangue;28) Risco de aumento dos níveis de bilirrubina no sangue;29) Risco de aumento dos níveis de proteínas no sangue;30) Risco de aumento dos níveis de colesterol no sangue;31) Risco de aumento dos níveis de triglicérides no sangue;32) Risco de aumento dos níveis de leptinas no sangue;33) Risco de aumento dos níveis de hormonas tireoidianas no sangue;34) Risco de aumento dos níveis de cortisó,0.0004038383765944792,0.09960681520314547
Como tomar o Abolibe Forte?,"Abolibe Forte
Definition: Grupo Farmacoterapêutico: 2.13.1 - Sistema nervoso Central. Outros medicamentos comacção no sistema nervoso. Medicamentos utilizados no tratamento sintomático dasalterações das funções cognitivas.Abolibe Forte está indicado no tratamento da demência ligeira a moderada."," Tomar uma cápsula por dia, preferencialmente após os refeições.
        ''')
    def test_abortion(self):
        self.assertEqual(
            'O abortivo é um fármaco que induz o aborto espontâneo',
            ask('Qual é o significado médico para abortivo?')
        )
        self.assertEqual(
            'O abortivo é um fármaco que induz o aborto espontâneo',
            ask('Que significa abortivo?')
        )
        self.assertEqual(
            'O abortivo é um fármaco que induz o aborto espontâneo',
            ask('Quais são os significados médicos para abortivo?')
        )
        self.assertEqual(
            'O abortivo é um fármaco que induz o aborto espontâneo',
            ask('Significado médico para abortivo?')
        )
        self.assertEqual(
            'O abortivo é um fármaco que induz o aborto espontâneo',
            ask('Significado médico para abortivos?')
        )
        self.assertEqual(
            'O abortivo é um fármaco que induz o aborto espontâneo',
            ask('Significado médico para abortivos?')
        )
        self.assertEqual(
            'O abortivo é um fármaco que induz o aborto espontâneo',
            ask('Significado médico para abortivos?')
        )
        self.assertEqual(
            'O abortivo é um fármaco que induz o aborto espontâneo',
            ask('Significado médico para abortivos?')
        )
        self.assertEqual(
            'O abortivo é um fármaco que induz o aborto espontâneo',
            ask('Significado médico para abortivos?')
        )
        self.assertEqual(
            'O abortivo é um fármaco que induz o aborto espontâneo',
            ask('Significado médico para abortivos?')
        )
        self.assertEqual(
            'O abortivo é um fá",0.0010804963272363188,0.12165450121654499
Qual é a composição de Soolantra?,"Qual a composição de SoolantraA substância ativa é a ivermectina. Um grama de creme contém 10 mg deivermectina.Os outros componentes são glicerol, palmitato de isopropilo, carbómero, dimeticone,edetato dissódico, ácido cítrico mono-hidratado, álcool cetílico, álcool estearílico, étercetoestearílico de macrogol, estearato de sorbitano, para-hidroxibenzoato de metilo(E218), para-hidroxibenzoato de propilo (E216), fenoxietanol, propilenoglicol, álcoololeílico, hidróxido de sódio, água purificada.Qual o aspeto de Soolantra e conteúdo da embalagemSoolantra é um creme branco a ligeiramente amarelado. É acondicionado embisnagas de 2, 15, 30, 45 ou 60 gramas.As bisnagas maiores (15, 30, 45 ou 60 gramas) apresentam uma tampa resistente àabertura por crianças.Apresentação de 1 bisnaga.É possível que não sejam comercializadas todas as apresentações.","
        """"""
        return self._composicao_de_soolantra()",0.0010889609659331695,0.028985507246376812
O que pode acontecer ao tomar Circadin?,"doenças autoimunes; por conseguinte, deve falar com o seu médico      antes de tomar Circadin uma vez que a sua utilização não é recomendada.     Circadin pode fazer com que se sinta sonolento, pelo que deve tomar cuidado se a sonolência o      afetar uma vez que pode interferir com a sua capacidade para realizar certas tarefas, como por      exemplo conduzir.     O tabagismo pode tornar Circadin menos eficaz, uma vez que os componentes do fumo do      tabaco podem aumentar a decomposição da melatonina pelo fígado.Crianças e adolescentesNão dê este medicamento a crianças com idades compreendidas entre os 0 e os 18 anos uma vez queainda não foi testado e os seus efeitos são desconhecidos. Outro medicamento contendo melatoninapode ser mais adequado para administrar a crianças com idades compreendidas entre os 2 aos 18 anos aconselhe-se com o seu médico ou farmacêutico.Outros medicamentos e CircadinInforme o seu médico ou farmacêutico se estiver a tomar, tiver tomado recentemente, ou se","
        """"""
        pass
",0.00020815487493891692,0.0
