Question,Similarity Search
Quais são os efeitos colaterais do Zytiga?,"pode levar a colapso com perigode vida). Os indivíduos que manipulem rotineiramente as formulações em pó estãomais predispostos a desenvolver estas reações (ver secção 2).Se tiver quaisquer efeitos secundários, incluindo possíveis efeitos secundários nãoindicados neste folheto, fale com o seu médico ou farmacêutico."
Quais são os efeitos negativos ao tomar Saridon?,"eles são potencialmente graves – assim, se tiver qualquer destes sintomas:Contacte o seu médico o mais rapidamente possível.Efeitos secundários muito frequentes: (podem afetar mais de 1 em cada 10 pessoas)•     Hemorragias nasais (normalmente menores), especialmente se utilizar Avamys por mais de 6      semanas continuamente.Efeitos secundários frequentes (podem afetar até 1 em cada 10 pessoas)• Ulceração nasal – que pode causar irritação ou desconforto no nariz. Poderá também observar    laivos de sangue ao assoar-se.• Dor de cabeça.• Falta de ar.Efeitos secundários pouco frequentes (podem afetar até 1 em cada 100 pessoas)• Dor, ardor, irritação, fossas nasais doridas ou secas.Efeitos secundários muito raros (podem afetar até 1 em cada 10.000 pessoas)• Pequenos orifícios (perfurações) na elevação do interior do nariz que separa as duas narinas.Desconhecido (a frequência não pode ser estimada a partir dos dados disponíveis)• Atraso no crescimento de crianças.• Visão turva ou"
Em que situações o remédio de Isotretinoína é contraindicado?,"parar de tomar IsotretinoínaAurovitas, deverá contactar o seu médico. O seu médico pode encaminhá-lo a umespecialista para aconselhamento.O seu médico possui informação escrita sobre a prevenção da gravidez para utilizadoresda Isotretinoína Aurovitas a qual lhe deve ser fornecida.. É necessária uma nova prescrição para mais tratamentos. Cada prescrição tem avalidade apenas de 7 dias.Conselhos destinados aos homensOs níveis de retinóide oral no sémen de homens que tomam Isotretinoína Aurovitassão demasiado baixos para prejudicar o feto da sua parceira. No entanto, nuncadeve partilhar a sua medicação com ninguém.Precauções adicionais Nunca deve dar este medicamento a outra pessoa. Por favor leve as cápsulas nãoutilizadas ao seu farmacêutico no final do tratamento. Não deve doar sangue durante o tratamento com este medicamento e durante 1mês após ter parado Isotretinoína Aurovitas porque o feto pode ser afetado se umadoente grávida receber o seu sangue.Problemas de saúde mentalPoderá não"
Qual é a dose recomendada de Citalopram Genedec?,"Qual a composição de Citalopram GenedecA substância ativa é citalopram.Um comprimido contém 10 mg citalopram (como 12,495 mg de bromidrato decitalopram)Um comprimido contém 20 mg citalopram (como 24,99 mg de bromidrato decitalopram)Um comprimido contém 40 mg citalopram (como 49,98 mg de bromidrato decitalopram)Os outros componentes são:Núcleo: manitol (E421), celulose microcristalina, sílica coloidal anidra e estearato demagnésio;Revestimento: hipromelose, dióxido de titânio (E171) (Cl 77891) e Macrogol 6000.Qual o aspeto de Citalopram Genedec e conteúdo da embalagemComprimidos revestidos por película em embalagens de 10, 30 ou 60 comprimidos.É possível que não sejam comercializadas todas as apresentações."
Como devo armazenar o Rivotril?,"medicadascom antiepiléticos. As malformações mais frequentes são dos lábios e cavidade oral, aparelhocardiovascular e tubo neural.Se estiver a planear engravidar ou se descobriu que está grávida, informe o seu médicoimediatamente.Embora o clonazepam passe para o leite materno apenas em pequenas quantidades, as mãestratadas com Rivotril não devem amamentar. Se o tratamento com Rivotril for absolutamentenecessário, deve abandonar-se o aleitamento materno.Condução de veículos e utilização de máquinasMesmo quando utilizado conforme prescrito, Rivotril pode tornar as suas reações mais lentas,afetando a sua capacidade de conduzir ou utilizar máquinas. Este efeito é agravado pela ingestãode álcool.Assim, deverá evitar a realização de atividades como conduzir, utilizar máquinas ou fazer outrastarefas potencialmente perigosas durante o tratamento com Rivotril, e especialmente no seuinício. O seu médico irá aconselhá-lo sobre esta situação, com base na sua dose e resposta aotratamento.Rivotril"
Quais são os efeitos colaterais do Diazepam Bluefish?,"Não tome Diazepam Bluefishse tem alergia ao diazepam ou a qualquer outro componente deste medicamento(indicados na secção 6).se tem alergia (hipersensibilidade) a outras benzodiazepinas.se tem dificuldade em respirar, durante algum tempo, relacionadas ou não com o sono.se tem uma condição chamada “miastenia grave”, que é caracterizada por fraquezamuscular e fadiga.se tem problemas respiratórios graves (falência respiratória grave).se tem problemas graves de fígado (falência hepática grave).se sofre de dependência de drogas ou álcool, não deve tomar Diazepam Bluefish, a menosque o seu médico lhe tenha indicado.Este medicamento não está recomendado para o tratamento de primeira linha da doençapsicótica (distúrbios mentais graves que causam ideias e perceções anormais), nem deveser utilizado como monoterapia em doentes com depressão, associada ou não a ansiedade.O seu médico irá, provavelmente, receitar outro fármaco nestes casos.Não utilize este medicamento em crianças"
Quais são os riscos de usar o GlucaGen?,"ser deitada fora.• Depois de utilizar GlucaGen, deve contactar, ou alguém deve contactarpor si, o seu     médico ou um profissional de saúde. Precisa dedescobrir a razão pela qual teve um baixo       nível de açúcar nosangue e como evitar que se repita.Não utilize GlucaGen se:• tem alergia ao glucagom ou a qualquer outro componente destemedicamento (indicados na secção 6).• tem um tumor nas glândulas supra-renais.Se alguma destas situações se aplicar, não utilize GlucaGen.Advertências e precauçõesFale com o seu médico, farmacêutico ou enfermeiro antes de utilizarGlucaGen.GlucaGen não terá um efeito adequado se:• fez um jejum muito prolongado• tem níveis baixos de adrenalina• tem um baixo nível de açúcar no sangue, causado por consumo excessivode álcool• tem um tumor que liberte glucagom ou insulina.Se alguma destas situações se aplicar, consulte o seu médico oufarmacêutico.Outros medicamentos e GlucaGenOs seguintes medicamentos podem afetar o efeito de GlucaGen:• insulina – usada para"
Como tomar o Abolibe Forte?,"Abolibe Forte
Definition: Grupo Farmacoterapêutico: 2.13.1 - Sistema nervoso Central. Outros medicamentos comacção no sistema nervoso. Medicamentos utilizados no tratamento sintomático dasalterações das funções cognitivas.Abolibe Forte está indicado no tratamento da demência ligeira a moderada."
Qual é a composição de Soolantra?,"Qual a composição de SoolantraA substância ativa é a ivermectina. Um grama de creme contém 10 mg deivermectina.Os outros componentes são glicerol, palmitato de isopropilo, carbómero, dimeticone,edetato dissódico, ácido cítrico mono-hidratado, álcool cetílico, álcool estearílico, étercetoestearílico de macrogol, estearato de sorbitano, para-hidroxibenzoato de metilo(E218), para-hidroxibenzoato de propilo (E216), fenoxietanol, propilenoglicol, álcoololeílico, hidróxido de sódio, água purificada.Qual o aspeto de Soolantra e conteúdo da embalagemSoolantra é um creme branco a ligeiramente amarelado. É acondicionado embisnagas de 2, 15, 30, 45 ou 60 gramas.As bisnagas maiores (15, 30, 45 ou 60 gramas) apresentam uma tampa resistente àabertura por crianças.Apresentação de 1 bisnaga.É possível que não sejam comercializadas todas as apresentações."
O que pode acontecer ao tomar Circadin?,"doenças autoimunes; por conseguinte, deve falar com o seu médico      antes de tomar Circadin uma vez que a sua utilização não é recomendada.     Circadin pode fazer com que se sinta sonolento, pelo que deve tomar cuidado se a sonolência o      afetar uma vez que pode interferir com a sua capacidade para realizar certas tarefas, como por      exemplo conduzir.     O tabagismo pode tornar Circadin menos eficaz, uma vez que os componentes do fumo do      tabaco podem aumentar a decomposição da melatonina pelo fígado.Crianças e adolescentesNão dê este medicamento a crianças com idades compreendidas entre os 0 e os 18 anos uma vez queainda não foi testado e os seus efeitos são desconhecidos. Outro medicamento contendo melatoninapode ser mais adequado para administrar a crianças com idades compreendidas entre os 2 aos 18 anos aconselhe-se com o seu médico ou farmacêutico.Outros medicamentos e CircadinInforme o seu médico ou farmacêutico se estiver a tomar, tiver tomado recentemente, ou se"
Como posso guardar Clincina?,Clincina
